variant,cls,acc,dice,iou,prec,rec
single_noTTA,normal,1.0,1.0,1.0,1.0,1.0
single_noTTA,benign,0.9833374023436,0.9370242214527468,0.8815104166657101,0.9364841498548282,0.9375649163289814
single_noTTA,benign,0.9953460693357856,0.9108447822247564,0.8362855609187532,0.9164705882299031,0.9052876234694638
single_noTTA,benign,0.9852600097654747,0.956234142804931,0.9161385536931016,0.9306817179637263,0.9832292928342651
single_noTTA,malignant,0.9479064941404804,0.8802777388129891,0.7861572189158871,0.8452421038448075,0.91834345503701
single_noTTA,normal,0.9685668945311022,0.0,0.0,0.0,0.0
single_noTTA,benign,0.9987030029295352,0.8635634028753842,0.7598870056282517,0.9711191335389487,0.7774566473763741
single_noTTA,benign,0.996520996093598,0.9792274052469212,0.9593002499090337,0.9649847369348806,0.9938968004420309
single_noTTA,benign,0.9965972900389105,0.8900936421838833,0.8019538188205866,0.9223697650569728,0.8599999999918096
single_noTTA,malignant,0.9362335205076697,0.9047043531797359,0.8259910059956587,0.9848086183781041,0.8366512020241094
single_noTTA,benign,0.9989776611326601,0.9126466753466408,0.839328537150136,0.8413461538259291,0.9971509971225883
single_noTTA,benign,0.9597167968748536,0.0,0.0,0.0,0.0
single_noTTA,benign,0.9826660156248501,0.902254345206589,0.8219156607605864,0.8269716088315032,0.9926164331673748
single_noTTA,benign,0.9145202636717354,0.7216535824303281,0.5645211442781681,0.7781825975130966,0.6727811747260767
single_noTTA,benign,0.9903411865232864,0.9153856436293071,0.8439733793422628,0.848364717540019,0.9939042089956636
single_noTTA,benign,0.9955749511717231,0.8921933085468692,0.8053691275113735,0.9146341463344921,0.8708272859153061
single_noTTA,benign,0.8758087158201789,0.7954768186956163,0.660408061083715,0.9446168536637952,0.6870089847646655
single_noTTA,malignant,0.9418029785154813,0.9186364024232191,0.849516669954291,0.970433136520949,0.8720887844785645
single_noTTA,malignant,0.9844665527342248,0.8687467766878949,0.7679507636180353,0.8116116598390469,0.934535367542484
single_noTTA,benign,0.9969787597654729,0.9354207436368708,0.8786764705828513,0.9761742682030213,0.8979336255422797
single_noTTA,benign,0.9474487304686054,0.9390097046112951,0.8850313793560939,0.9372503270050068,0.9407756999393418
single_noTTA,benign,0.9270324707029836,0.7929690882324041,0.6569583931128716,0.6752691343454688,0.9603607382540263
single_noTTA,benign,0.9010314941404876,0.21381818181792261,0.11970684039071701,0.637744034702547,0.12844036697229003
single_noTTA,benign,0.9980773925779728,0.9140518417400133,0.8417085427029936,0.9911242603403679,0.8481012658120494
single_noTTA,benign,0.9642486572264154,0.8654608096463592,0.7628302459755412,0.7802857734512525,0.9715096042271865
single_noTTA,benign,0.9964752197264105,0.8396946564827226,0.7236842105176593,0.7387057386967191,0.9726688102737513
single_noTTA,benign,0.9816284179686002,0.8838286375908105,0.7918395573983543,0.8165448386507104,0.9631966351188997
single_noTTA,benign,0.9958190917967231,0.9336561743318798,0.8755676657544252,0.9260326608985302,0.9414062499954033
single_noTTA,benign,0.9994659423826601,0.9122807017315218,0.8387096773807046,0.8387096773807046,0.999999999945055
single_noTTA,malignant,0.5924987792967846,0.14818831334519386,0.08002342485098349,0.13496397861948933,0.1642857142855981
single_noTTA,malignant,0.9108276367186111,0.0,0.0,0.0,0.0
single_noTTA,benign,0.9976959228514103,0.9348857266022644,0.8777327935151601,0.8988391376376548,0.9739442946902611
single_noTTA,benign,0.9753417968748512,0.7811484290346951,0.6408888888874648,0.653968253966771,0.969737726963787
single_noTTA,normal,1.0,1.0,1.0,1.0,1.0
single_noTTA,benign,0.9943695068357858,0.9794257039303153,0.9596809440548953,0.9801361455183794,0.9787162915077126
single_noTTA,malignant,0.9153442382811103,0.6988710377764334,0.5371266477552669,0.8456587416250549,0.5955045786693224
single_noTTA,benign,0.9840393066404749,0.9431830526882438,0.8924753289464509,0.924994672916125,0.962101063828721
single_noTTA,benign,0.9928741455076611,0.9735485698097006,0.9484604348295458,0.9799315849475713,0.9672481710737565
single_noTTA,normal,1.0,1.0,1.0,1.0,1.0
single_noTTA,malignant,0.9929809570310986,0.8851148851126746,0.7939068100322854,0.8218923933171527,0.9588744588692703
single_noTTA,benign,0.9992370605467226,0.9140893470633318,0.8417721518720958,0.8608414239203611,0.9743589743232836
single_noTTA,malignant,0.9494934082029801,0.885395748216576,0.7943588469179955,0.8493423674765183,0.92464564651365
single_noTTA,normal,0.9944763183592233,0.0,0.0,0.0,0.0
