file,cls,mode,method,acc,dice,iou,prec,rec
normal_normal_84.png,normal,oracle,Watershed,1.0,1.0,1.0,1.0,1.0
normal_normal_84.png,normal,oracle,Otsu,1.0,1.0,1.0,1.0,1.0
normal_normal_84.png,normal,oracle,RegionGrowing,1.0,1.0,1.0,1.0,1.0
normal_normal_84.png,normal,auto,Watershed,0.4175872802733738,0.0,0.0,0.0,0.0
normal_normal_84.png,normal,auto,Otsu,0.6585693359373995,0.0,0.0,0.0,0.0
normal_normal_84.png,normal,auto,RegionGrowing,0.8868865966795522,0.0,0.0,0.0,0.0
benign_benign_290.png,benign,oracle,Watershed,0.8968811035154882,0.7035184697724386,0.5426367081750523,0.567485313893009,0.925331794574812
benign_benign_290.png,benign,oracle,Otsu,0.8743286132811167,0.6284399530810122,0.4581935398983894,0.5158877120209496,0.8038084246961295
benign_benign_290.png,benign,oracle,RegionGrowing,0.9070739746092367,0.4905470972055458,0.3249833739743682,0.8914563697145289,0.33837276399268507
benign_benign_290.png,benign,auto,Watershed,0.13221740722654232,0.2335548038435825,0.13221740722654232,0.13221740722654232,0.9999999999988458
benign_benign_290.png,benign,auto,Otsu,0.4596862792968049,0.2723274834572619,0.15762679607951338,0.16566242468180972,0.7646855164445877
benign_benign_290.png,benign,auto,RegionGrowing,0.7629241943358211,0.0,0.0,0.0,0.0
benign_benign_337.png,benign,oracle,Watershed,0.9902801513670364,0.8072617246571642,0.6768138000980375,0.8421717171664005,0.7751307379385525
benign_benign_337.png,benign,oracle,Otsu,0.9732513427732891,0.6242229367617916,0.45372390152554154,0.49456521738962445,0.8460197559509238
benign_benign_337.png,benign,oracle,RegionGrowing,0.9822998046873501,0.6381784154690013,0.46862116353427113,0.6888888888842499,0.5944218477594746
benign_benign_337.png,benign,auto,Watershed,0.026260375976558493,0.051176829177624464,0.026260375976558493,0.026260375976558493,0.9999999999941895
benign_benign_337.png,benign,auto,Otsu,0.48716735839836317,0.05944085299301502,0.030630786536289516,0.03122427378571351,0.6170830912224458
benign_benign_337.png,benign,auto,RegionGrowing,0.8802795410154907,0.0,0.0,0.0,0.0
benign_benign_434.png,benign,oracle,Watershed,0.9868774414060995,0.9587490406749046,0.9207665376811122,0.988037567967387,0.9311469300280153
benign_benign_434.png,benign,oracle,Otsu,0.8384857177733096,0.6562307167676735,0.4883507347252086,0.5036893010267705,0.9413025249222572
benign_benign_434.png,benign,oracle,RegionGrowing,0.8992462158201753,0.5558022199794445,0.38485187255414116,0.9997579864448215,0.38488772943223243
benign_benign_434.png,benign,auto,Watershed,0.34965515136713415,0.3205318283992028,0.19085317234305524,0.1933492326037248,0.9366439951542563
benign_benign_434.png,benign,auto,Otsu,0.6173248291014684,0.4055559506031417,0.25435571148235286,0.27196719226847915,0.79707444330495
benign_benign_434.png,benign,auto,RegionGrowing,0.8342285156248728,0.0,0.0,0.0,0.0
malignant_malignant_160.png,malignant,oracle,Watershed,0.8619995117186185,0.7105549510335049,0.5510548523204015,0.6314921212807147,0.8122484817437533
malignant_malignant_160.png,malignant,oracle,Otsu,0.7450866699217613,0.5134552656102885,0.34540182594712376,0.4264841066329157,0.6449842686759018
malignant_malignant_160.png,malignant,oracle,RegionGrowing,0.8054809570311271,0.3785707321827149,0.23347964644324845,0.5671096830720503,0.2841150215846315
malignant_malignant_160.png,malignant,auto,Watershed,0.20932006835934308,0.34533555690313,0.20870428342365296,0.20870428342365296,0.9999999999992683
malignant_malignant_160.png,malignant,auto,Otsu,0.6085205078124072,0.39212434251045064,0.24387728036301795,0.2899540979010162,0.605473037242551
malignant_malignant_160.png,malignant,auto,RegionGrowing,0.763381958007696,0.03184116875817454,0.016178149980956617,0.1085106382974106,0.018658081510193415
normal_normal_3.png,normal,oracle,Watershed,1.0,1.0,1.0,1.0,1.0
normal_normal_3.png,normal,oracle,Otsu,1.0,1.0,1.0,1.0,1.0
normal_normal_3.png,normal,oracle,RegionGrowing,1.0,1.0,1.0,1.0,1.0
normal_normal_3.png,normal,auto,Watershed,0.0,0.0,0.0,0.0,0.0
normal_normal_3.png,normal,auto,Otsu,0.34045410156244804,0.0,0.0,0.0,0.0
normal_normal_3.png,normal,auto,RegionGrowing,0.8180694580076877,0.0,0.0,0.0,0.0
benign_benign_171.png,benign,oracle,Watershed,0.9975433349607853,0.6967984933955405,0.5346820809094023,0.9999999999459459,0.5346820809094023
benign_benign_171.png,benign,oracle,Otsu,0.9881286621092242,0.43541364295765306,0.27829313543341105,0.29069767441578787,0.867052023096328
benign_benign_171.png,benign,oracle,RegionGrowing,0.9962921142576605,0.45879732738399115,0.2976878612630726,0.9999999999029127,0.2976878612630726
